keyword,title,price,rating,reviews,platform,position,delivery,discount
Smart Phone,Google Pixel 10 Pro XL,1199.0,4.5,2300.0,Google Store,22,Free delivery,
Smart Phone,T-Mobile Revvl 8 Pro (with 36 monthly payments + plan) - REVVL Smartphone,10.42,,,T-Mobile,23,Free delivery,
Smart Phone,Tracfone Moto G Play 2024 Prepaid Smartphone,39.88,3.2,406.0,Walmart,24,Free next-day delivery,
Smart Phone,Apple iPhone 17e,16.67,4.6,3100.0,Best Buy,25,Free delivery by Sun,
Smart Phone,Apple iPhone 17 Pro 256GB Silver,1099.0,3.8,2300.0,Apple,26,Free next-day delivery,
Smart Phone,Nothing Phone Pro,539.0,4.8,145.0,Nothing US,27,Free delivery by Thu,
Smart Phone,Unihertz Titan Slim Smartphone,299.99,4.4,113.0,Unihertz,28,Free delivery,
Smart Phone,Samsung Galaxy A37 5G,374.99,4.8,3700.0,Best Buy,29,Free delivery by Sun,
Smart Phone,Google Pixel 10,799.0,4.6,1900.0,Google Store,30,Free delivery,
Smart Phone,Samsung Galaxy S26 Ultra 256GB Black,699.99,,,Cricket Wireless,31,Free delivery,
Smart Phone,OnePlus 15R 256GB,699.99,4.8,220.0,OnePlus Official Store,32,Free delivery,
Smart Phone,Jitterbug Smart4 Smartphone for Seniors,47.99,4.2,585.0,Best Buy,33,Free delivery by Sun,
Smart Phone,Samsung Galaxy A16 Prepaid Smartphone,59.88,3.9,113.0,Walmart,34,Free delivery,
Smart Phone,Apple iPhone 17 Pro 256GB Deep Blue,1099.0,3.8,2400.0,Apple,35,Free next-day delivery,
Smart Phone,Apple iPhone 16e Black,599.99,3.9,1200.0,Boost Mobile,36,,
Smart Phone,Tracfone Motorola Moto g Play 64GB Prepaid,39.99,4.3,446.0,Best Buy,37,Free delivery by Sun,
Smart Phone,Unihertz Jelly Max 5G Smartphone,339.99,4.6,44.0,Unihertz,38,Free delivery,
Smart Phone,Apple iPhone 17 Pro,1299.0,4.5,8200.0,Klarna,39,Free delivery,
Smart Phone,NUU B40 5G Android Smartphone,249.99,,,NUU,40,Free delivery,
Washing Machine,Whirlpool 3.5 Cu. Ft. Top Load Washer WTW4816FW,499.0,3.9,26000.0,Lowe's,1,,
Washing Machine,Insignia 3.7 Cu. Ft. High Efficiency 12-Cycle Top-Loading Washer,449.99,4.3,2400.0,Best Buy,2,,
Washing Machine,LG 4.1 Cu. Ft. Top Load Washer with Agitator,569.0,4.3,5800.0,Home Depot,3,,
Washing Machine,Insignia 4.1 Cu. Ft. Top Load Washer NS-WMT41WA5,499.99,4.7,878.0,Best Buy,4,,
Washing Machine,GE Hotpoint Top Load Washer HTW265AS,519.0,4.1,2600.0,Lowe's,5,,
Washing Machine,GE 4.0 Cu. Ft. Capacity Washer with Stainless Steel Basket and Water Level Control,539.0,4.0,2700.0,ABC Warehouse,6,,
Washing Machine,LG 4.1 Cu. Ft. Top Load Washer with 4-way Agitator,599.0,3.8,783.0,Home Depot,7,,
Washing Machine,Samsung Top-Load Washer WA45T3200AW,549.99,4.3,8200.0,Best Buy,8,,
Washing Machine,Maytag Top Load Washer with Deep Fill MVW4005SW,559.77,4.1,1600.0,PC Richard & Son,9,,
Washing Machine,Hotpoint HTW240ASKWS Washer,16.95,,,dialrto.com,10,,
Washing Machine,WHIRLPOOL Top Load Washer with Removable Agitator,699.0,3.8,20000.0,Lowe's,11,,
Washing Machine,Midea Top Load Washer,399.99,5.0,3.0,Electronic Express,12,,
Washing Machine,Magic Chef Front Load Washer,581.99,2.7,14.0,Home Depot,13,,
Washing Machine,"Dimedeal 18lbs Portable Twin Tub Washing Machine, Small Washer with 1 Drying Rack and 10 Hangers, Compact Laundry Machine with Spinner, Mini Washer",105.99,2.8,24.0,Walmart - Dimedeal,14,Free delivery,
Washing Machine,Avanti 1.38 Cu. Ft. Compact Washer,249.97,3.9,24.0,PC Richard & Son,15,,
Washing Machine,Hotpoint 4.0 cu. ft. Top Load Washer in White with Cold Plus and Water Level Control,17.99,4.1,2600.0,Rent-A-Center,16,Free delivery,
Washing Machine,Maytag Front Load Washer With Extra Power and 12-Hr Fresh,799.0,3.9,8400.0,Home Depot,17,,
Washing Machine,Whirlpool Top Load Impeller Washer wtw4300sw,599.0,3.8,96.0,Lowe's,18,,
Washing Machine,Samsung Front Load Washer WF45T6000AV,729.12,4.4,3400.0,Electronic Express,19,,
Washing Machine,"LG 27"" Smart Front Load Washer",1099.99,4.3,371.0,Best Buy,20,,
Washing Machine,LG WT6100CW Top Load Washer,569.0,4.4,1400.0,Home Depot,21,,
Washing Machine,GE Washer GTW485ASWWB,597.0,4.2,9600.0,ABC Warehouse,22,,
Washing Machine,Whirlpool Top Load Washer,598.0,4.1,2300.0,Plesser's Appliances,23,Free delivery,
Washing Machine,Speed Queen TC5 Top Load Washer,1497.0,4.6,3900.0,Rochester Appliance,24,Free delivery by Wed,
Washing Machine,Amana Top Load Washer NTW4519JW,499.0,3.7,3500.0,Home Depot,25,,
Washing Machine,Maytag Top Load Washer,599.0,3.8,24000.0,Budget Appliance & Mattress Co,26,,
Washing Machine,Samsung 4.4 Cu. Ft. Top Load Washer with ActiveWave Agitator and Soft-Close Lid,548.97,4.2,2300.0,PC Richard & Son,27,,
Washing Machine,Miele WXC280WCS Front Load Washer,1999.0,,,Best Buy,28,Free delivery,
Washing Machine,LG Smart Compact Front Load Washer,1149.0,4.0,725.0,Lowe's,29,Free delivery,
Washing Machine,Costway Portable Semi-automatic Washing Machine with Built-in Drain Pump,158.99,4.6,1700.0,Walmart - Costway,30,Free delivery,
Washing Machine,Whirlpool Top Load Agitator Washer with Quick Wash WTW4105SW,674.0,3.9,70.0,Home Depot,31,,
Washing Machine,Electrolux Front Load Washer ELFW7537AW,943.0,4.6,2700.0,Plesser's Appliances,32,Free delivery,
Washing Machine,LG 5.2 Cu. Ft. Smart Front Load Washer WM8900HBA,1395.0,4.5,1500.0,Town Appliance,33,Free delivery,
Washing Machine,Samsung 4.7 Cu. Ft. Smart Top Load Washer,629.12,4.2,1300.0,Best Buy,34,,
Washing Machine,Panda 2.0 Cu. ft. Portable Washing Machine,382.99,4.3,22.0,Home Depot,35,Free delivery,
Washing Machine,Maytag 5.2 Cu. ft Agitator Top Load Washer with Extra Power,849.0,3.9,793.0,Lowe's,36,,
Washing Machine,LG Top Load Washer WT7000CW,697.0,4.2,1200.0,ABC Warehouse,37,,
Washing Machine,Samsung Front Load Washer WF45T6000AW,729.0,4.3,7000.0,Abt Electronics & Appliances,38,Free delivery,
Washing Machine,Frigidaire 4.1 Cu. Ft. Top Load Washer,649.12,4.1,195.0,Electronic Express,39,,
Washing Machine,LG TurboWash 360 Washer WM4000HBA,929.0,4.3,5000.0,Home Depot,40,,
laptop,Hp 14 inch HD Windows Laptop,259.0,3.2,54.0,Walmart,1,Free next-day delivery,
laptop,"ACEMAGIC - LX15Pro - 15.6"" Gaming Laptop - AMD Ryzen 5 7430U(6C/12T) - Radeon RX Vega 8 Graphics -16GB memory - 512GB NVMe SSD - Gray",429.0,3.5,8.0,Best Buy,2,,
laptop,Apple MacBook Neo 13 A18 Pro chip,699.99,4.8,4800.0,Target,3,Free delivery by Thu,
laptop,"Acer Chromebook 315 15.6"" FHD Wi-Fi 6E",199.0,4.5,43.0,Best Buy,4,Free delivery by Sun,
laptop,"Lenovo IdeaPad Slim 3i 15"" Touchscreen Laptop",849.0,5.0,2.0,Walmart,5,Free delivery,
laptop,Razer Blade 16 Ultra-thin 16-inch AMD Gaming Laptop,2399.99,,,Razer.com,6,Free delivery,
laptop,"HP OmniBook 3 14"" 2K OLED Laptop",499.99,4.7,11.0,Best Buy,7,Free delivery,
laptop,"Dell Inspiron 15.6"" HD Screen Laptop",749.99,4.1,185.0,Dell,8,Free delivery by Thu,
laptop,Rnruo 14 inch Windows 11 Laptop,205.49,3.4,12.0,Walmart - RNRUO,9,Free delivery by Tue,
laptop,"Lenovo - IdeaPad Slim 3 Chromebook - 14"" 2K Touchscreen Laptop - MediaTek Kompanio 540 2025 - 4GB Memory - 64GB eMMC - Blue",299.0,,,Best Buy,10,,
laptop,"ASUS ROG Strix G18 18"" FHD+ 144Hz Gaming Laptop",1399.99,,,Staples,11,Free delivery by Wed,
laptop,"Nimo 15.6"" Ryzen 7 8745HS Laptop",729.99,4.2,4.0,Nimo,12,Free delivery,
laptop,"Microsoft 13"" Surface Laptop Copilot+ PC",1249.99,4.7,658.0,Best Buy,13,Free delivery by Sun,
laptop,13-inch Apple MacBook Air M5,1299.0,4.9,2800.0,Apple,14,Free next-day delivery,
laptop,"HP 14"" Intel Core N150 Laptop",299.99,4.4,111.0,Staples,15,Free delivery by Wed,
laptop,"Lenovo - IdeaPad Slim 3 Chromebook - 14"" 2K Touchscreen Laptop - MediaTek Kompanio 540 2025 - 8GB Memory - 128GB UFS - Blue",439.0,4.6,40.0,Best Buy,16,,
laptop,"HP 14"" Core i3-1115G4 Laptop",299.99,2.7,6.0,Walmart - Smartisan Tech,17,Free delivery,
laptop,Dell Pro Max 18 Plus MB18250,5549.95,4.4,88.0,B&H Used Store,18,Free delivery by Tue,
laptop,"Lenovo IdeaPad Slim 3i 15.6"" Full HD Laptop",349.99,4.5,198.0,Best Buy,19,,
laptop,MSI Cyborg 15 Gaming Laptop,1399.99,,,Altex Electronics,20,,
laptop,"ASUS Vivobook 15.6"" Touchscreen Laptop",669.99,,,Electronic Express,21,Free delivery,
laptop,"HP OmniBook 5 16"" AI Laptop | Snapdragon X X1-26-100 | 16GB | Windows 11 Home | 256GB SSD | Glacier Silver | B81YMAV_1",629.99,4.2,56.0,HP,22,Free delivery,
laptop,"Lenovo LOQ 15.6"" 2K Gaming Laptop",1324.99,5.0,2.0,Best Buy,23,Free delivery by Sun,
laptop,AMD Ryzen 9 Gaming Laptop,999.99,,,Walmart - UHIPPO Laptops,24,Free delivery,
laptop,Acer Predator Helios Neo Gaming Laptop,1749.99,4.5,4.0,B&H Photo-Video-Audio,25,Free delivery by Tue,
laptop,Microsoft Surface Laptop for Business,1649.99,5.0,1.0,Microsoft Store,26,Free delivery by Wed,
laptop,Dell 14 Plus Laptop,1509.99,4.3,989.0,Newegg.com - Dell Technologies,27,Free delivery,
laptop,Lenovo Legion Pro 5i Gaming Laptop,2449.99,,,Best Buy,28,Free delivery,
laptop,Alienware 15 Gaming Laptop,2599.0,4.7,130.0,Walmart - Teknoraks,29,,
laptop,15-inch Apple MacBook Air M5,1699.0,4.9,1500.0,bkstr.com/texassanantoniostore/home,30,,
laptop,"Lenovo Ideapad Slim 3 15.6"" N150 Laptop",329.99,4.6,17.0,Instacart,31,,
laptop,"Samsung - Galaxy Chromebook Go - 14"" LED Laptop - Intel Celeron- 4GB Memory - 128GB + 128GB SD Card - Silver",329.99,,,Best Buy,32,,
laptop,Microsoft Surface Laptop 7 Copilot+ PC,1910.99,3.0,5.0,Insight,33,,
laptop,Lenovo IdeaPad Slim 3i Arctic Grey Laptop Intel N100 82xbx,268.0,3.8,260.0,Walmart - Velztorm PC,34,Free delivery,
laptop,"Microsoft Surface Pro 13"" Snapdragon X2 Plus",1649.0,4.7,28.0,B&H Photo-Video-Audio,35,,
laptop,"HP 15.6"" HD Laptop",314.99,3.7,364.0,Best Buy,36,,
laptop,"Dell Chromebook 11.6"" HD Screen 2-in-1 Laptop",489.0,4.8,10.0,Dell,37,Free delivery,
laptop,ASUS TUF A16 Gaming Laptop,1147.0,4.1,8.0,Walmart - PrimeGear Tech,38,Free delivery,
laptop,LOQ RTX 512 GB SSD M.2 2242 computerIe Gen4 TLC 83tncto1wwus,1540.07,,,Lenovo,39,Free delivery,
laptop,"HP OmniBook X Flip 14"" AI 2-in-1 Laptop",1999.99,4.0,2.0,HP,40,Free delivery,
headphones,Apple AirPods Max,299.99,4.6,12000.0,PayMore Springfield,1,Free delivery by Thu,
headphones,Anker Soundcore Q20i Hybrid Active Noise Cancelling Headphones,44.99,4.8,7400.0,Best Buy,2,Free delivery by Sun,
headphones,JLab Studio 2 Wireless Headphones,24.99,4.6,828.0,Target,3,Free delivery on $35+,
headphones,Beats Solo 4 On-Ear Wireless Headphones,118.97,4.0,599.0,Best Buy,4,,
headphones,Bose QuietComfort Noise Cancelling Headphones,229.0,4.6,7500.0,Bose,5,Free delivery,
headphones,Onn. On-Ear Headphones,6.0,3.9,1900.0,Walmart,6,,
headphones,Dan Clark Audio E3 Planar Magnetic Headphones,1999.99,4.8,84.0,HiFiSoundGear,7,Free delivery,
headphones,JBL On-Ear Headphones Tune 520BT Wireless,39.1,4.6,11000.0,Best Buy,8,,
headphones,Skullcandy Crusher ANC 2 Wireless Headphones,259.99,4.6,7200.0,Skullcandy,9,Free delivery,
headphones,Sony WH-1000XM6 Wireless Noise Canceling Headphones,398.0,4.7,3200.0,Sony,10,Free delivery by Tue,
headphones,Sennheiser HD 560S Headphones,199.99,4.7,1100.0,Target,11,Free delivery by Thu,
headphones,Audio Technica ATH-M50X Professional Monitor Headphones,159.0,4.8,4000.0,Guitar Center,12,Free delivery,
headphones,Bose QuietComfort Ultra Headphones,229.0,4.4,9800.0,Bose,13,Free delivery,
headphones,Shokz OpenRun Pro 2,179.99,4.7,4800.0,Best Buy,14,Free delivery by Sun,
headphones,Bowers & Wilkins PX8 Over-Ear Noise Canceling Wireless Headphones,479.0,4.8,4400.0,Bowers & Wilkins,15,Free delivery,
headphones,Onn. Wireless On-Ear Headphones,12.88,4.0,2300.0,Walmart,16,,
headphones,JBL Tune 530BT Wireless On-Ear Headphones,44.99,4.7,549.0,Kohl's,17,,
headphones,Beats Studio Pro Wireless Headphones - Sandstone,19.99,4.6,19000.0,Rent-A-Center,18,Free delivery,
headphones,Sennheiser MOMENTUM 4 Wireless Headphones,224.99,4.6,8200.0,Best Buy,19,Free delivery by Sun,
headphones,Audeze LCD 2 Headphones,895.0,4.8,140.0,Moon Audio,20,Free delivery by Tue,
headphones,HIFIMAN Edition XS Headphones,209.0,4.7,496.0,Headphones.com,21,Free delivery,
headphones,Meze Audio 105 AER Open-Back Headphones,299.0,4.8,121.0,Guitar Center,22,Free delivery,
headphones,Beyerdynamic DT 990 PRO X Studio Headphones,229.99,4.7,86.0,Sweetwater,23,Free delivery by Wed,
headphones,Marshall Major V On-Ear Headphones,154.99,4.7,2100.0,Best Buy,24,Free delivery,
headphones,JLab Studio Pro Wireless Over-Ear Headphones,19.99,4.2,1500.0,Walmart,25,,
headphones,Sony WH-CH720N Noise Canceling Headphones,49.99,4.9,202.0,Target,26,Free delivery by Thu,
headphones,JBL Tune 670NC On-Ear Wireless Noise Cancelling Headphones,59.95,4.4,2900.0,Crutchfield,27,Free delivery by Tue,
headphones,Skullcandy Crusher Evo Wireless Over Ear Headphones,168.0,4.6,7000.0,Best Buy,28,,
headphones,Apple EarPods,19.0,4.6,31000.0,Boise State Bronco Shop,29,,
headphones,Audio Technica ATH-M20X Monitor Headphones,49.0,4.7,3100.0,B&H Photo-Video-Audio,30,Free delivery by Tue,
headphones,Beat Studio Pro on Ear Headphones in Black,22.99,4.6,19000.0,Rent-A-Center,31,Free delivery,
headphones,Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones Wireless Over Ear Bluetooth Headphones,39.99,4.5,838.0,Walmart - AnkerDirect,32,Free delivery by Tue,
headphones,Sony Wireless Noise Canceling Headphones,89.97,4.6,13000.0,Best Buy,33,,
headphones,Apple AirPods Max 2,530.0,4.7,817.0,Sweetwater,34,Free delivery by Wed,
headphones,Bose QuietComfort Headphones,199.0,4.7,269.0,Bose,35,Free delivery,
headphones,Sonos Ace Wireless Noise Canceling Headphones,399.0,4.6,4000.0,Sonos,36,Free delivery,
headphones,JVC Ear Headphones,24.99,4.4,1800.0,jvcshop,37,,
headphones,Sony WH-CH520 Wireless On-Ear Headphones,39.99,4.7,2800.0,Best Buy,38,Free delivery by Sun,
headphones,Anker Soundcore Life Q30 Hybrid Active Noise Cancelling Wireless Bluetooth Headphones,55.98,4.8,112.0,Target,39,Free delivery,
headphones,Sennheiser Momentum 5 Wireless Headphones,399.95,4.7,199.0,Sennheiser Consumer Audio US,40,Free delivery by Wed,
smartwatch,Samsung Galaxy Watch FE,94.99,4.1,2100.0,"Walmart - Hyper Microsystems, Inc.",1,,
smartwatch,Apple Watch SE 3 GPS 40mm Midnight Aluminum Case,12.5,4.8,6800.0,T-Mobile,2,Free delivery,
smartwatch,Amazfit Band 7 Fitness Tracker,49.99,4.3,1100.0,Target,3,Free delivery by Thu,
smartwatch,Nothing CMF Watch Pro 3,69.0,4.6,607.0,Nothing US,4,Free delivery by Thu,
smartwatch,Amazfit Bip 6 Smartwatch,79.99,4.5,244.0,Best Buy,5,Free delivery by Sun,
smartwatch,Garmin Lily 2 Smartwatch,249.99,4.4,1200.0,Garmin - United States,6,Free delivery by Tue,
smartwatch,Google Pixel Watch 4,399.99,4.6,1100.0,Google Store,7,Free delivery,
smartwatch,"Smart Watch for Men Women 2.01"" HD Touchscreen Bluetooth Call IP68 Waterproof",35.99,,,Target,8,Free delivery,
smartwatch,Tozo S4,49.99,4.7,133.0,TOZO,9,Free delivery,
smartwatch,Amazfit Active 2 Smartwatch,79.99,4.8,1900.0,Best Buy,10,Free delivery by Sun,
smartwatch,Samsung Galaxy Watch8,299.99,4.4,62000.0,Samsung,11,Free delivery,
smartwatch,Mingdaln Smart Watch,29.99,4.4,1300.0,Walmart - Frontier of technology,12,,
smartwatch,Amazfit Bip 6 Smart Watch,79.99,4.9,11000.0,Target,13,Free delivery by Thu,
smartwatch,Garmin Instinct E,249.99,4.4,239.0,Garmin - United States,14,Free delivery by Tue,
smartwatch,Withings ScanWatch 2 Hybrid Smartwatch,369.95,4.4,874.0,Best Buy,15,,
smartwatch,Samsung Galaxy Watch8 Classic,499.99,4.6,8300.0,Samsung,16,Free delivery,
smartwatch,Smart Watch with Alexa Built-in,26.99,4.3,363.0,Walmart - Cillso Store,17,,
smartwatch,Garmin vivoactive 6 Smartwatch,299.99,4.6,2400.0,Garmin - United States,18,Free delivery by Tue,
smartwatch,Samsung Galaxy Watch7,189.99,4.5,8900.0,Best Buy,19,Free delivery by Sun,
smartwatch,Smart Watch with HD Touchsreen,35.99,3.5,43.0,Target,20,Free delivery,
smartwatch,TOZO S4 Smartwatch with Bluetooth Calling and AMOLED Screen,49.99,4.7,131.0,TOZO,21,Free delivery,
smartwatch,Indestructible Tactical Smartwatch,139.99,,,Njord Gear,22,Free delivery,
smartwatch,Apple Watch Ultra 3 GPS + Cellular 49mm Titanium Case,719.0,4.7,3900.0,Follett's College of DuPage Bookstore,23,,
smartwatch,Smart Watch 2025,23.89,3.7,215.0,Walmart - SISROW,24,,
smartwatch,Fitbit Versa 4 Fitness Smartwatch,165.0,4.2,8000.0,Best Buy,25,,
smartwatch,Garmin Lily 2 Classic Smartwatch,299.99,4.4,701.0,Garmin - United States,26,Free delivery by Tue,
smartwatch,Samsung Galaxy Watch Ultra2,699.99,4.8,538.0,Samsung,27,Free delivery,
smartwatch,Amazfit Active 2 Square Leather Smartwatch with Heart Rate Tracking,129.99,4.4,43.0,Target,28,Free delivery by Thu,
smartwatch,Garmin Lily 2 Active Smartwatch,299.99,4.8,1500.0,Home Depot,29,Free delivery,
smartwatch,Apple Watch Series 11 GPS Aluminum Case Sport Band,349.99,4.8,13000.0,Best Buy,30,Free delivery by Sun,
smartwatch,Women's HD Touchscreen Fitness Tracker with Bluetooth Calls,32.99,4.9,159.0,Walmart - Cillso Store,31,,
smartwatch,Garmin Instinct 3 Solar,349.99,4.7,1900.0,Garmin - United States,32,Free delivery by Tue,
smartwatch,Cubitt Terra Rugged Smartwatch,139.95,3.7,3.0,Cubitt,33,Free delivery,
smartwatch,TOZO S5 Bluetooth Sports Smartwatch,79.99,4.3,184.0,TOZO,34,Free delivery,
smartwatch,Garmin Vivomove Trend Hybrid Smartwatch,299.99,4.2,816.0,Cabela's,35,Free delivery,
smartwatch,Women's Smartwatch with Bluetooth Calls and Fitness Tracker,8.77,,,Walmart - Hovilon Home Store,36,,
smartwatch,Garmin Venu 4 Smartwatch,549.99,4.7,1500.0,Best Buy,37,,
smartwatch,Amazfit Bip Max,99.99,4.9,183.0,Target,38,Free delivery by Thu,
smartwatch,Garmin vivosmart 5,149.99,4.0,2600.0,Home Depot,39,Free delivery,
smartwatch,Google Fitbit Air Fitness Tracker,99.99,4.4,560.0,Google Store,40,Free delivery,
tablet,Amazon Fire HD 10 Tablet,139.99,4.6,1900.0,Best Buy,1,Free delivery by Sun,
tablet,Amazon Fire HD 8 Tablet,99.99,4.5,669.0,Target,2,Free delivery by Thu,
tablet,"Lenovo Tab One 8.7"" HD Android Tablet",99.99,4.6,696.0,Best Buy,3,Free delivery,
tablet,Onn. 8.1 inch Core Tablet,138.0,4.2,66.0,Walmart,4,Free next-day delivery,
tablet,Apple iPad mini,31.25,4.8,5000.0,T-Mobile,5,Free delivery,
tablet,Samsung Galaxy Tab A11+ Tablet,274.0,4.7,3800.0,Best Buy,6,,
tablet,Apple iPad,164.89,4.7,15000.0,Walmart - Wireless Source,7,Free delivery,
tablet,"Lenovo Tab One 8.7"" IPS 480 nits",99.99,4.4,103.0,Instacart,8,,
tablet,TCL TAB 8 NXTPAPER 5G,5.56,2.7,3.0,AT&T,9,Free delivery,
tablet,"Lenovo Idea Tab 11"" 2.5K Tablet",299.99,4.8,448.0,Best Buy,10,Free delivery by Sun,
tablet,Onn. 7 inch Core Tablet 64 GB Android 16 2026 Model,97.0,3.6,174.0,Walmart,11,Free delivery,
tablet,Apple iPad Wi-Fi,21.52,3.8,623.0,Rent-A-Center,12,Free delivery,
tablet,Onn. 11 inch Core Tablet 2026 Model,167.0,4.3,94.0,Walmart,13,Free next-day delivery,
tablet,Lenovo Idea Tab Plus Tablet,279.0,4.6,392.0,Best Buy,14,,
tablet,7Inch Android Tablet with Protective Case,37.98,2.1,41.0,Walmart - PeichengTech,15,Free delivery by Tue,
tablet,"Samsung Galaxy Tab A9 8.7"" WXGA+ Tablet",151.87,4.1,15.0,Best Buy,16,,
tablet,"Lenovo Idea Tab 11"" Android 15 or Later Tablet",239.99,4.5,142.0,Newegg.com - Lenovo,17,Free delivery,
tablet,Brand New Samsung Galaxy Tab A11 64gb + 4GB RAM - Wi-Fi Only,133.99,3.6,89.0,Walmart - HotDeals,18,Free delivery by Tue,
tablet,Xiaomi Redmi Pad 2 4G Tablet,177.49,4.9,262.0,Techinn.com,19,,
tablet,Samsung Galaxy Tab S10 Lite,399.99,4.8,4100.0,Best Buy,20,,
tablet,Android Tablet 10 Inch with Case Screen Stylus,59.99,3.6,29.0,Walmart - Novojoy-xl,21,Free delivery by Tue,
tablet,LINSAY Core 256GB Storage Android 15 Tablet Case,129.99,3.6,57.0,staples.com,22,,
tablet,Baken Android 12 Tablet 10.1 inch,59.98,2.9,123.0,Walmart - BoKo Tech,23,Free delivery by Tue,
tablet,"Lenovo Idea Tab Pro 12.7"" Android 14 Tablet",459.99,4.7,194.0,Best Buy,24,Free delivery by Sun,
tablet,"Lenovo Tab One 8.7"" Android Tablet",129.99,4.5,30.0,B&H Photo-Video-Audio,25,Free delivery by Tue,
tablet,7 Inch Android 14 Tablet,38.99,3.1,24.0,Walmart - Novojoy-xl,26,Free delivery by Tue,
tablet,Fire HD 10 Tablet,47.32,5.0,1.0,Glocalzone,27,,
tablet,Apple 13-inch iPad Air M4 Chip Wi-Fi,38.89,4.4,1500.0,Best Buy,28,Free delivery,
tablet,Android 10 inch Tablet,53.99,2.7,51.0,Walmart - Coopers US,29,Free delivery by Tue,
tablet,Samsung Galaxy Tab S11 Ultra,1899.99,4.8,2900.0,Samsung,30,Free delivery,
tablet,Lenovo Tab K11 Tablet,299.99,4.4,81.0,Lenovo,31,Free delivery,
tablet,7 inch Android Tablet,37.99,2.4,175.0,Walmart - YQSavior US,32,Free delivery by Tue,
tablet,Microsoft Surface Pro Copilot+ PC,819.0,4.6,702.0,Best Buy,33,,
tablet,"Samsung Galaxy Tab S10+ SM-X820 Tablet - 12.4"" WQXGA+ - MediaTek Dimensity 9300+ [MT6989] Octa-core - 12 GB - 256 GB Storage - Android 14 - Moonstone",1.0,4.7,2400.0,Beach Audio,34,,
tablet,Tcl TAB 8 Gen 2 8.7 inch HD 64GB Android 14 Tablet,116.0,4.4,91.0,Walmart,35,Free next-day delivery,
tablet,"Honor Pad 10 12.1"" 8GB/ 256GB Octacore Tablet",246.49,4.9,815.0,Techinn.com,36,,
tablet,"Lenovo Idea Tab 11"" Tablet",199.99,4.4,100.0,Micro Center,37,,
tablet,Lenovo Idea Tab Plus Lightweight Tablet,279.99,4.9,8.0,Best Buy,38,,
tablet,Bestski 10 inch Android Tablet,75.59,1.8,12.0,Walmart - BESTSKI LLC,39,Free delivery by Tue,
tablet,"Samsung Galaxy Tab S11 11"" Tablet",899.99,4.7,1900.0,Samsung,40,Free delivery,
gaming laptop,"ACEMAGIC - LX15Pro - 15.6"" Gaming Laptop - AMD Ryzen 5 7430U(6C/12T) - Radeon RX Vega 8 Graphics -16GB memory - 512GB NVMe SSD - Gray",429.0,3.5,8.0,Best Buy,1,,
gaming laptop,"Acer Nitro V 15.6"" Core 5 210H RTX 4050 Laptop",899.0,4.8,83.0,Walmart,2,Free delivery,
gaming laptop,ASUS TUF F17 Gaming Laptop,799.99,,,Staples,3,Free delivery by Wed,
gaming laptop,"ASUS ROG Zephyrus G16 16"" 2.5K OLED 240Hz Gaming Laptop",1849.99,4.6,241.0,Best Buy,4,Free delivery,
